State Name,County Name,Date Local,Local Site Name,Arithmetic Mean_ozone,1st Max Value_ozone,1st Max Hour_ozone,Arithmetic Mean_so2,1st Max Value_so2,1st Max Hour_so2,Arithmetic Mean_co,1st Max Value_co,1st Max Hour_co,Arithmetic Mean_no2,1st Max Value_no2,1st Max Hour_no2
Arizona,Maricopa,2024-01-22,JLG SUPERSITE,0.018471,0.025,23,0.547826,1.2,9,0.492857,0.6,2,14.020833,24.4,19
Arizona,Maricopa,2024-01-23,CENTRAL PHOENIX,0.018235,0.024,10,0.0,0.0,0,0.041667,0.1,0,9.85,18.0,19
Arizona,Maricopa,2024-01-23,JLG SUPERSITE,0.019353,0.027,10,0.382609,0.8,2,0.2125,0.3,0,9.604545,21.6,18
Arizona,Maricopa,2024-01-24,CENTRAL PHOENIX,0.01,0.02,12,0.0,0.0,0,0.191667,0.4,23,17.0,28.0,21
Arizona,Maricopa,2024-01-24,JLG SUPERSITE,0.011294,0.024,10,0.266667,0.9,23,0.329167,0.5,22,16.179167,28.5,20
Arizona,Maricopa,2024-01-25,CENTRAL PHOENIX,0.017176,0.027,11,0.083333,1.0,1,0.279167,0.6,1,14.708333,25.0,21
Arizona,Maricopa,2024-01-25,JLG SUPERSITE,0.017471,0.027,11,0.241667,0.9,2,0.391667,0.7,1,14.366667,21.3,0
Arizona,Maricopa,2024-01-26,CENTRAL PHOENIX,0.013588,0.028,11,0.25,2.0,8,0.275,0.5,9,19.208333,34.0,20
Arizona,Maricopa,2024-01-26,JLG SUPERSITE,0.012,0.026,10,0.429167,1.2,11,0.3875,0.6,23,20.041667,35.1,19
Arizona,Maricopa,2024-01-27,CENTRAL PHOENIX,0.022059,0.033,10,0.380952,1.0,3,0.55,0.9,6,16.583333,33.0,20
Arizona,Maricopa,2024-01-27,JLG SUPERSITE,0.021118,0.034,10,0.425,2.1,8,0.466667,0.7,1,17.408333,34.5,20
Arizona,Maricopa,2024-01-28,JLG SUPERSITE,0.020059,0.039,9,0.166667,0.6,2,0.275,0.5,0,13.85,35.1,19
Arizona,Maricopa,2024-01-29,JLG SUPERSITE,0.014471,0.034,10,0.995833,3.7,9,0.683333,1.2,9,24.25,50.0,9
Arizona,Maricopa,2024-01-30,CENTRAL PHOENIX,0.017824,0.036,10,0.5,2.0,19,0.791667,1.4,1,23.625,42.0,20
Arizona,Maricopa,2024-01-30,JLG SUPERSITE,0.015765,0.037,10,0.795455,1.6,8,0.917647,1.2,1,23.870833,45.5,19
Arizona,Maricopa,2024-01-31,CENTRAL PHOENIX,0.019118,0.036,10,0.125,1.0,19,0.320833,0.9,1,19.0,39.0,20
Arizona,Maricopa,2024-01-31,JLG SUPERSITE,0.018706,0.035,10,0.6875,1.6,20,0.6125,1.0,1,22.425,41.0,19
Arizona,Maricopa,2024-02-01,CENTRAL PHOENIX,0.028529,0.033,13,0.083333,1.0,9,0.145833,0.4,0,11.666667,28.0,0
Arizona,Maricopa,2024-02-01,JLG SUPERSITE,0.026353,0.03,13,0.725,1.3,10,0.3125,0.8,0,9.131818,19.3,0
Arizona,Maricopa,2024-02-02,CENTRAL PHOENIX,0.034353,0.044,10,0.0,0.0,0,0.008333,0.1,22,5.583333,16.0,23
Arizona,Maricopa,2024-02-02,JLG SUPERSITE,0.028294,0.039,10,0.358333,0.9,10,0.125,0.2,7,9.045833,20.9,22
Arizona,Maricopa,2024-02-03,CENTRAL PHOENIX,0.027059,0.043,12,0.0,0.0,0,0.166667,0.3,7,14.458333,35.0,22
Arizona,Maricopa,2024-02-03,JLG SUPERSITE,0.022765,0.039,10,0.4,1.1,11,0.254167,0.4,22,15.083333,32.4,22
Arizona,Maricopa,2024-02-04,CENTRAL PHOENIX,0.025941,0.042,10,0.0,0.0,0,0.191667,0.4,0,11.916667,37.0,20
Arizona,Maricopa,2024-02-04,JLG SUPERSITE,0.020471,0.041,10,0.266667,0.8,0,0.358333,0.6,1,14.908333,35.8,20
Arizona,Maricopa,2024-02-05,CENTRAL PHOENIX,0.024059,0.031,10,0.086957,2.0,15,0.166667,0.4,0,14.608696,27.0,6
Arizona,Maricopa,2024-02-05,JLG SUPERSITE,0.017706,0.032,10,0.641667,1.1,5,0.535714,0.7,8,18.933333,33.7,19
Arizona,Maricopa,2024-02-06,CENTRAL PHOENIX,0.027294,0.035,18,0.130435,1.0,7,0.004167,0.1,11,11.136364,25.0,9
Arizona,Maricopa,2024-02-06,JLG SUPERSITE,0.026471,0.032,19,0.533333,1.0,12,0.283333,0.4,0,12.22381,28.4,8
Arizona,Maricopa,2024-02-07,CENTRAL PHOENIX,0.029588,0.04,11,0.0,0.0,0,-0.0375,0.0,9,8.75,21.0,22
Arizona,Maricopa,2024-02-07,JLG SUPERSITE,0.024,0.035,10,0.395833,0.9,14,0.275,0.4,21,11.066667,29.6,21
Arizona,Maricopa,2024-02-08,CENTRAL PHOENIX,0.029176,0.036,11,0.0,0.0,0,0.0,0.0,0,8.625,18.0,7
Arizona,Maricopa,2024-02-08,JLG SUPERSITE,0.030588,0.036,11,0.2375,0.9,13,0.2625,0.4,0,8.3375,17.7,6
Arizona,Maricopa,2024-02-09,CENTRAL PHOENIX,0.031,0.04,10,0.083333,1.0,7,0.083333,0.2,8,12.791667,28.0,20
Arizona,Maricopa,2024-02-09,JLG SUPERSITE,0.025824,0.038,11,0.529167,1.4,7,0.366667,0.6,10,16.070833,40.5,21
Arizona,Maricopa,2024-02-10,CENTRAL PHOENIX,0.035706,0.043,11,0.0,0.0,0,0.020833,0.1,0,6.458333,17.0,0
Arizona,Maricopa,2024-02-10,JLG SUPERSITE,0.033471,0.04,9,0.3375,0.9,21,0.258333,0.5,0,6.858333,16.2,0
Arizona,Maricopa,2024-02-11,CENTRAL PHOENIX,0.022,0.035,11,0.0,0.0,0,0.025,0.3,23,10.791667,33.0,22
Arizona,Maricopa,2024-02-11,JLG SUPERSITE,0.017941,0.036,11,0.379167,1.1,13,0.266667,0.5,22,12.191667,35.4,21
Arizona,Maricopa,2024-02-12,CENTRAL PHOENIX,0.017471,0.036,10,0.291667,1.0,5,0.3125,0.4,0,18.125,42.0,20
Arizona,Maricopa,2024-02-12,JLG SUPERSITE,0.016176,0.035,11,0.626087,1.7,20,0.570833,0.8,3,22.8,40.8,20
Arizona,Maricopa,2024-02-13,CENTRAL PHOENIX,0.020294,0.037,12,0.375,1.0,0,0.354167,0.7,1,19.791667,38.0,22
Arizona,Maricopa,2024-02-13,JLG SUPERSITE,0.019294,0.036,11,0.729167,1.9,0,0.566667,1.0,2,21.045833,38.1,21
Arizona,Maricopa,2024-02-14,CENTRAL PHOENIX,0.022882,0.042,11,0.083333,1.0,21,0.275,0.5,3,22.0,42.0,21
Arizona,Maricopa,2024-02-14,JLG SUPERSITE,0.019059,0.041,10,0.758333,2.1,8,0.5125,0.7,8,22.970833,47.2,19
Arizona,Maricopa,2024-02-15,CENTRAL PHOENIX,0.021412,0.041,11,0.208333,1.0,7,0.254167,0.5,0,21.541667,44.0,21
